url,label
baseballerrors.com/,good
majorwashington.myupsite.com/,good
library.sc.edu/socar/uscs/1995/workma95.html,good
telusplanet.net/dgarneau/metis25.htm,good
bookfinder.com/author/walt-disney-company/,good
genforum.genealogy.com/washington/messages/1681.html,good
uk.linkedin.com/pub/alwyn-thomas/1b/68a/556,good
pitchfork.com/reviews/albums/14068-under-great-white-northern-lights-box-set/,good
metrolyrics.com/hate-to-feel-lyrics-alice-in-chains.html,good
firstshowing.net/2011/watch-wacky-teaser-trailer-for-tim-and-erics-billion-dollar-movie/,good
legacy.com/obituaries/kansascity/obituary.aspx?n=john-a-pazell&pid=152828579&fhid=11273,good
arielrebelnude.net/,good
encyclopedia.com/topic/Rip_Torn.aspx,good
glassdoor.com/Salary/Matson-Navigation-Company-Salaries-E25406.htm,good
claremontlincoln.org/,good
newjerseynewsroom.com/state/christies-raid-on-urban-enterprise-zones-to-be-discussed,good
pirates.wikia.com/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl_(video_game),good
amazon.com/Star-Trek-Next-Generation-Collection/dp/B00023P4F6,good
healthgrades.com/dentist/dr-michael-merlini-35n68/,good
freebase.com/view/base/vicebase/views/pornographic_actors_and_actresses,good
nndb.com/people/374/000114032/,good
music.yahoo.com/michael-john-poirier/tracks/,good
duckduckgo.com/1/c/National_Football_League_announcers,good
nbatipoff.com/2010/12/is-joel-anthony-really-bad-offensive.html,good
youtube.com/watch?v=MYORv5ufs2k,good
stceceliachurch.org/,good
jdvhotels.com/feed,good
zillow.com/homedetails/19430-W-Townley-Ct-Waddell-AZ-85355/67700932_zpid/,good
reunion.com/elizabethpasko/,good
sportskolache.blogspot.com/,good
youtube.com/watch?v=xFBKXQILeqI,good
bozosbar-b-q.com/press-release.html,good
list-of-companies.org/Pakistan/Keywords/Confectionery/,good
hartpublishing.org/,good
tickets--tickets.com/event/7775/Concordia-Stingers-Mens-Basketball.html,good
connect.in.com/steve-bosse/profile-260347.html,good
flixster.com/movie/unaccompanied-minors-grounded,good
lead411.com/David_Garrison_69839.html,good
entertainmentearth.com/hitlist.asp?theme=Horror%3A+Texas+Chainsaw+Massacre,good
facebook.com/pages/Jermaine-Dye/103779606326826,good
tonyduquette.com/clientlist.htm,good
amazon.com/s?ie=UTF8&rh=n%3A283155%2Ck%3AInsects%20-%20Fiction.&page=1,good
geneall.net/U/alfam.php?alfa=G,good
boyactors.org.uk/actor.php?ref=630,good
flagworld.com/news/?tag=jean-paul-cyr,good
footballpakistan.com/2011/03/pakistan-to-appear-in-afc-u16-championship-for-u17-world-cup-qualification/,good
zapmash.com/CEGEP-Andre-Laurendeau-Omnivox.html,good
chiefsblog.kansascity.com/,good
greatsfandf.com/AUTHORS/FletcherPratt.php,good
mapageweb.umontreal.ca/perrob/,good
law.justia.com/cases/federal/appellate-courts/F3/110/67/527030/,good
tv.msn.com/tv/series/all-souls/,good
zillow.com/profile/Tom-Antoine/,good
nutquote.com/quote/Debbi_Fields,good
jobbankusa.com/employment_jobs_career/domtar.html,good
absoluteastronomy.com/topics/Chris_Young_(baseball_starting_pitcher),good
youtube.com/watch?v=OoieghZMP0Y,good
finance.yahoo.com/,good
montreal-business-kit.com/verdun-borough.html,good
genforum.genealogy.com/dawson/all.html,good
star-trek-2-movie-trailer.blogspot.com/,good
romseymvc.co.uk/concerts_tickets.html,good
forums.highdefdigest.com/blu-ray-disc-exchange-21/,good
libertyhall.com/red.html,good
indiana.statelawyers.com/Cities/,good
recordspedia.com/Michigan/Washtenaw-County/Public-Records,good
nfb.ca/film/canada_vignettes_inuit_pipe/,good
caughtoffside.com/2011/11/10/stuart-pearce-welcomes-scottish-welsh-and-irish-footballers-to-team-gb/,good
badmovieplanet.com/3btheater/tributes/arkoffAIP.html,good
detroitpslbasketball.com/?page_id=36,good
en.scientificcommons.org/makoto_matsuoka,good
youtube.com/watch?v=T_doJR0951A,good
louisville.com/content/poets-cutter-wood-and-cynthia-arrieu-king-light-bard%E2%80%99s-town-tomorrow-night-books,good
worldofharmonica.blogspot.com/2011/08/kris-kristofferson.html,good
myspace.com/thekingoffrance,good
4shared.com/audio/DHj4hec-/_2__Betty_Wright__Marvin_Gaye_.html,good
cilfotranslations.com/index.php?a=5&b=299,good
imdb.com/name/nm1588948/bio,good
spoke.com/info/p9qpMlY/PrabhatSharma,good
outdoors911.com/reports/forumdisplay.php?117-Cass-Lake-Area,good
music.yahoo.com/ella-fitzgerald/,good
youtube.com/watch?v=O7-DinJNIEE,good
manta.com/c/mm3l7p6/novastar-inc,good
stormforce31.com/?p=236,good
iidbs.com/ozark/ozlocat.htm,good
goldbook.ca/montreal-qc/handbags-retail/access-place-ville-marie-1192890/,good
hockeyforum.com/international-hockey/50159-switzerland-2008-09-a.html,good
myspace.com/consentforclozaril,good
merv2.tripod.com/octoberauction.htm,good
spoke.com/info/pF0kphN/AngelaDryden,good
medicine.mcgill.ca/dermatology/,good
en.wikipedia.org/wiki/R%C3%A9seau_Info-Sports,good
linkedin.com/pub/craig-sams-p-e/7/18b/736,good
connect.in.com/ralph-bates/biography-227861.html,good
